Ruta;Nombre;Shader;Categoria;Uso;Especial;Avisos;Texturas
Assets/VFX/Niebla/Height Fog/SharedStuff/Meshes/Materials/Rock_6.mat;Rock_6;Standard;Built-in de Unity (Standard);Sin uso detectado;;Shader built-in de Unity — revisar si necesita migrarse;"_MainTex=VACIO; _MetallicGlossMap=VACIO; _BumpMap=VACIO; _ParallaxMap=VACIO; _OcclusionMap=VACIO; _EmissionMap=VACIO; _DetailMask=VACIO; _DetailAlbedoMap=VACIO; _DetailNormalMap=VACIO; "
Assets/VFX/Niebla/Height Fog/SharedStuff/Meshes/Materials/candle wax.mat;candle wax;Standard;Built-in de Unity (Standard);Sin uso detectado;render queue 3000, keyword de alpha activo, Mode = Fade/Transparent;Shader built-in de Unity — revisar si necesita migrarse | Especial (transparente/agua) — dejar para el final (render queue 3000, keyword de alpha activo, Mode = Fade/Transparent);"_MainTex=VACIO; _MetallicGlossMap=VACIO; _BumpMap=VACIO; _ParallaxMap=VACIO; _OcclusionMap=VACIO; _EmissionMap=VACIO; _DetailMask=VACIO; _DetailAlbedoMap=VACIO; _DetailNormalMap=VACIO; "
Assets/VFX/Niebla/Height Fog/SharedStuff/Meshes/Materials/default.mat;default;Standard;Built-in de Unity (Standard);Sin uso detectado;;Shader built-in de Unity — revisar si necesita migrarse;"_MainTex=VACIO; _MetallicGlossMap=VACIO; _BumpMap=VACIO; _ParallaxMap=VACIO; _OcclusionMap=VACIO; _EmissionMap=VACIO; _DetailMask=VACIO; _DetailAlbedoMap=VACIO; _DetailNormalMap=VACIO; "
Assets/VFX/Travis Game Assets/Hit Impact Effects/Demo Scene/Materials/HitImpactEffects_Floor.mat;HitImpactEffects_Floor;Standard;Built-in de Unity (Standard);En escena;;Shader built-in de Unity — revisar si necesita migrarse;"_MainTex=OK; _MetallicGlossMap=VACIO; _BumpMap=VACIO; _ParallaxMap=VACIO; _OcclusionMap=VACIO; _EmissionMap=VACIO; _DetailMask=VACIO; _DetailAlbedoMap=VACIO; _DetailNormalMap=VACIO; "
Assets/VFX/Univeral FX Shader/Textures/WaterShader.mat;WaterShader;Standard;Built-in de Unity (Standard);Sin uso detectado;nombre sugiere 'water';Shader built-in de Unity — revisar si necesita migrarse | Especial (transparente/agua) — dejar para el final (nombre sugiere 'water');"_MainTex=VACIO; _MetallicGlossMap=VACIO; _BumpMap=VACIO; _ParallaxMap=VACIO; _OcclusionMap=VACIO; _EmissionMap=VACIO; _DetailMask=VACIO; _DetailAlbedoMap=VACIO; _DetailNormalMap=VACIO; "
Assets/Plugins/Kevin Iglesias/Human Animations/Unity Demo Scenes/Human Spellcasting Animations/Materials/HumanSpellcastingAnimations_Floor.mat;HumanSpellcastingAnimations_Floor;Unlit/Color;Built-in de Unity (Unlit/Color);En escena;;Shader built-in de Unity — revisar si necesita migrarse;
Assets/VFX/Free Game VFX/Materials/Plane.mat;Plane;Unlit/Color;Built-in de Unity (Unlit/Color);En escena;;Shader built-in de Unity — revisar si necesita migrarse;
Assets/Plugins/Kevin Iglesias/Human Animations/Materials/HumanAnimations_Dummy-Purple.mat;HumanAnimations_Dummy-Purple;Unlit/Texture;Built-in de Unity (Unlit/Texture);En escena;;Shader built-in de Unity — revisar si necesita migrarse;"_MainTex=OK; "
Assets/Plugins/Kevin Iglesias/Human Animations/Unity Demo Scenes/Human Spellcasting Animations/Materials/HumanSpellcastingAnimations_Props.mat;HumanSpellcastingAnimations_Props;Unlit/Texture;Built-in de Unity (Unlit/Texture);En escena;;Shader built-in de Unity — revisar si necesita migrarse;"_MainTex=OK; "
Assets/Art/World/Fantasy_Kingdom_Pack/Materials/Flower01.mat;Flower01;Unlit/Transparent Cutout;Built-in de Unity (Unlit/Transparent Cutout);En escena;render queue 2450;Shader built-in de Unity — revisar si necesita migrarse | Especial (transparente/agua) — dejar para el final (render queue 2450);"_MainTex=OK; "
