Ruta;ShaderAnterior;Albedo;Normal;Emission;Advertencias
Assets/Art/Items/BTM_Items_Gems/Models/RedVial.fbx;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/Items/BTM_Items_Gems/Models/Ruby.fbx;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/Items/BTM_Items_Gems/Models/Ruby2.fbx;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/Items/BTM_Items_Gems/Models/Shield.fbx;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/Items/BTM_Items_Gems/Models/Skull.fbx;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/Items/BTM_Items_Gems/Models/SkullBones.fbx;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/Items/BTM_Items_Gems/Models/SpeedChev.fbx;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/Items/BTM_Items_Gems/Models/SphereGem.fbx;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/Items/BTM_Items_Gems/Models/SphereGem2.fbx;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/Items/BTM_Items_Gems/Models/SphereGem3.fbx;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/Items/BTM_Items_Gems/Models/Spiral.fbx;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/Items/BTM_Items_Gems/Models/Star.fbx;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/Items/BTM_Items_Gems/Models/StarCoin.fbx;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/Items/BTM_Items_Gems/Models/StarGem1.fbx;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/Items/BTM_Items_Gems/Models/StarGem2.fbx;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/Items/BTM_Items_Gems/Models/StarGem3.fbx;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/Items/BTM_Items_Gems/Models/Thunder.fbx;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/Items/BTM_Items_Gems/Models/Time.fbx;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/Items/BTM_Items_Gems/Models/Trophy.fbx;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Anchor01_a01.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Anchor02_a01.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Balcony01.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Balcony02.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Balloon01_a01.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Balloon01_a02.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/World/Fantasy_Kingdom_Pack/Meshes/Balloon01_a03.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
